dataset;queryId;window;relation;ts;selectivity;query_time
nyc;3;70;equal;num_ebikes_available;4140;3167
nyc;4;30;overlaps;num_bikes_available;1182;16311
nyc;4;50;overlaps;num_bikes_available;1182;31458
nyc;4;70;overlaps;num_bikes_available;1182;49511
nyc;4;30;overlaps;num_docks_disabled;1182;31
nyc;4;50;overlaps;num_docks_disabled;1182;26
nyc;4;70;overlaps;num_docks_disabled;1182;24
nyc;4;30;overlaps;num_bikes_disabled;1182;4925
nyc;4;50;overlaps;num_bikes_disabled;1182;7850
nyc;4;70;overlaps;num_bikes_disabled;1182;8969
nyc;4;30;overlaps;num_ebikes_available;1182;15996
nyc;4;50;overlaps;num_ebikes_available;1182;30386
nyc;4;70;overlaps;num_ebikes_available;1182;47830
nyc;4;30;before;num_bikes_available;1182;57064
nyc;4;50;before;num_bikes_available;1182;67224
nyc;4;70;before;num_bikes_available;1182;70933
nyc;4;30;before;num_docks_disabled;1182;24
nyc;4;50;before;num_docks_disabled;1182;22
nyc;4;70;before;num_docks_disabled;1182;22
nyc;4;30;before;num_bikes_disabled;1182;4741
nyc;4;50;before;num_bikes_disabled;1182;3592
nyc;4;70;before;num_bikes_disabled;1182;2433
nyc;4;30;before;num_ebikes_available;1182;57455
nyc;4;50;before;num_ebikes_available;1182;68300
nyc;4;70;before;num_ebikes_available;1182;71709
nyc;4;30;meets;num_bikes_available;1182;2907
nyc;4;50;meets;num_bikes_available;1182;2789
nyc;4;70;meets;num_bikes_available;1182;2617
nyc;4;30;meets;num_docks_disabled;1182;23
nyc;4;50;meets;num_docks_disabled;1182;23
nyc;4;70;meets;num_docks_disabled;1182;30
nyc;4;30;meets;num_bikes_disabled;1182;532
nyc;4;50;meets;num_bikes_disabled;1182;491
nyc;4;70;meets;num_bikes_disabled;1182;443
nyc;4;30;meets;num_ebikes_available;1182;2972
nyc;4;50;meets;num_ebikes_available;1182;2856
nyc;4;70;meets;num_ebikes_available;1182;2616
nyc;4;30;equal;num_bikes_available;1182;3677
nyc;4;50;equal;num_bikes_available;1182;3522
nyc;4;70;equal;num_bikes_available;1182;3263
nyc;4;30;equal;num_docks_disabled;1182;24
nyc;4;50;equal;num_docks_disabled;1182;23
nyc;4;70;equal;num_docks_disabled;1182;23
nyc;4;30;equal;num_bikes_disabled;1182;640
nyc;4;50;equal;num_bikes_disabled;1182;590
nyc;4;70;equal;num_bikes_disabled;1182;515
nyc;4;30;equal;num_ebikes_available;1182;3651
nyc;4;50;equal;num_ebikes_available;1182;3458
nyc;4;70;equal;num_ebikes_available;1182;3285

